"","genus","distinct_isolate","distinct_asv"
"1","Alphaproteobacteria_unclassified",1,1
"2","Bacillus",2,1
"3","Brevundimonas",1,1
"4","Caulobacter",3,3
"5","Caulobacteraceae_unclassified",1,1
"6","Cellulomonas",1,1
"7","Comamonadaceae_unclassified",9,9
"8","Curtobacterium",1,1
"9","Delftia",1,1
"10","Flavobacterium",2,2
"11","Hymenobacter",1,1
"12","Micrococcaceae_unclassified",6,1
"13","Micrococcus",3,1
"14","Mycobacterium",2,1
"15","Niveispirillum",2,2
"16","Paracoccus",1,1
"17","Porphyrobacter",1,1
"18","Pseudomonas",8,3
"19","Ralstonia",1,1
"20","Rhizobiales_unclassified",1,1
"21","Roseomonas",1,1
"22","Sanguibacter-Flavimobilis",1,1
"23","Sphingopyxis",1,1
"24","Staphylococcus",3,1
"25","Streptomyces",1,1
