Well,"Mean RFU [ChlA_100:460,685]",Well ID,Name,Reading Date/Time
B2,719,SPL1,,5/29/2021 17:28
C2,1313,SPL2,,5/29/2021 17:28
D2,702,SPL3,,5/29/2021 17:28
E2,426,SPL4,,5/29/2021 17:28
F2,1018,SPL5,,5/29/2021 17:28
G2,525,SPL6,,5/29/2021 17:28
B3,639,SPL7,,5/29/2021 17:28
C3,653,SPL8,,5/29/2021 17:28
D3,639,SPL9,,5/29/2021 17:28
E3,504,SPL10,,5/29/2021 17:28
F3,496,SPL11,,5/29/2021 17:28
G3,472,SPL12,,5/29/2021 17:28
B4,650,SPL13,,5/29/2021 17:28
C4,956,SPL14,,5/29/2021 17:28
D4,618,SPL15,,5/29/2021 17:28
E4,402,SPL16,,5/29/2021 17:28
F4,511,SPL17,,5/29/2021 17:28
G4,459,SPL18,,5/29/2021 17:28
B5,539,SPL19,,5/29/2021 17:28
C5,606,SPL20,,5/29/2021 17:28
D5,564,SPL21,,5/29/2021 17:28
E5,499,SPL22,,5/29/2021 17:28
F5,490,SPL23,,5/29/2021 17:28
G5,484,SPL24,,5/29/2021 17:28
B6,755,SPL25,,5/29/2021 17:28
C6,685,SPL26,,5/29/2021 17:28
D6,748,SPL27,,5/29/2021 17:28
E6,713,SPL28,,5/29/2021 17:28
F6,717,SPL29,,5/29/2021 17:28
G6,768,SPL30,,5/29/2021 17:28
B7,714,SPL31,,5/29/2021 17:28
C7,702,SPL32,,5/29/2021 17:28
D7,725,SPL33,,5/29/2021 17:28
E7,774,SPL34,,5/29/2021 17:28
F7,801,SPL35,,5/29/2021 17:28
G7,758,SPL36,,5/29/2021 17:28
B8,732,SPL37,,5/29/2021 17:28
C8,668,SPL38,,5/29/2021 17:28
D8,653,SPL39,,5/29/2021 17:28
E8,762,SPL40,,5/29/2021 17:28
F8,2543,SPL41,,5/29/2021 17:28
G8,727,SPL42,,5/29/2021 17:28
B9,748,SPL43,,5/29/2021 17:28
C9,742,SPL44,,5/29/2021 17:28
D9,714,SPL45,,5/29/2021 17:28
E9,463,SPL46,,5/29/2021 17:28
F9,1143,SPL47,,5/29/2021 17:28
G9,500,SPL48,,5/29/2021 17:28
B10,663,SPL49,,5/29/2021 17:28
C10,605,SPL50,,5/29/2021 17:28
D10,638,SPL51,,5/29/2021 17:28
E10,549,SPL52,,5/29/2021 17:28
F10,532,SPL53,,5/29/2021 17:28
G10,554,SPL54,,5/29/2021 17:28
B11,583,SPL55,,5/29/2021 17:28
C11,544,SPL56,,5/29/2021 17:28
D11,613,SPL57,,5/29/2021 17:28
E11,626,SPL58,,5/29/2021 17:28
F11,552,SPL59,,5/29/2021 17:28
G11,541,SPL60,,5/29/2021 17:28
F12,2,SPL61,,5/29/2021 17:28
G12,1.78,SPL62,,5/29/2021 17:28
